scenario_family,budget_M,policy_kind,latency_days,block_count,policy_value_M,policy_value_±M,stale_regret_M,stale_regret_±M,relative_loss_%,relative_loss_±%,target_overlap_%,missed_at_risk_%,window_miss_%,selected_customers,reopt_call_ratio_%,regret_recovery_%,full_refresh_value_ratio
complaint-heavy,2.64,base-stale,0,48,69.87,2.97,0.0,0.0,0.0,0.0,100.0,0.0,0.0,247.8,1.32,0.0,1.0
complaint-heavy,2.64,base-stale,1,48,70.54,2.8,-0.67,0.44,-1.18,0.65,89.95,13.18,0.53,242.9,5.33,-237.22,0.995
complaint-heavy,2.64,base-stale,3,48,70.54,3.02,-0.67,0.4,-1.13,0.63,89.51,13.91,0.63,242.9,5.41,-202.36,0.9949
complaint-heavy,2.64,base-stale,7,48,70.41,2.87,-0.54,0.41,-0.96,0.62,88.53,15.29,2.21,243.5,5.45,-147.6,0.9913
complaint-heavy,2.64,full-refresh,0,48,69.87,3.11,0.0,0.0,0.0,0.0,100.0,0.0,0.0,247.8,100.0,100.0,1.0
complaint-heavy,2.64,stronger-but-stale,3,48,73.55,3.53,-3.68,0.62,-5.05,0.83,77.61,33.62,2.053,229.2,0.0,0.0,0.0
complaint-heavy,2.64,weaker-but-fresh,0,48,30.45,1.81,39.42,3.77,55.1,3.63,70.08,7.66,0.0,466.3,0.0,0.0,0.0
complaint-heavy,7.25,base-stale,0,48,137.56,7.25,0.0,0.0,0.0,0.0,100.0,0.0,0.0,765.9,1.32,0.0,1.0
complaint-heavy,7.25,base-stale,1,48,138.55,7.6,-0.98,0.28,-0.76,0.18,87.08,18.15,0.169,745.6,5.33,-302.23,0.9962
complaint-heavy,7.25,base-stale,3,48,138.49,7.82,-0.93,0.27,-0.68,0.18,86.92,18.31,0.202,748.9,5.41,-261.78,0.9946
complaint-heavy,7.25,base-stale,7,48,138.21,7.92,-0.65,0.33,-0.45,0.21,86.56,18.7,0.698,756.3,5.45,-537.73,0.9925
complaint-heavy,7.25,full-refresh,0,48,137.56,7.84,0.0,0.0,0.0,0.0,100.0,0.0,0.0,765.9,100.0,100.0,1.0
complaint-heavy,7.25,stronger-but-stale,3,48,143.6,8.6,-6.04,1.1,-4.07,0.61,76.95,35.44,0.674,694.6,0.0,0.0,0.0
complaint-heavy,7.25,weaker-but-fresh,0,48,84.35,2.83,53.21,6.16,36.95,2.56,73.88,1.98,0.0,1267.4,0.0,0.0,0.0
complaint-heavy,11.53,base-stale,0,48,172.93,12.46,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1411.9,1.32,0.0,1.0
complaint-heavy,11.53,base-stale,1,48,173.86,12.34,-0.93,0.29,-0.52,0.15,86.49,17.7,0.089,1389.5,5.33,-166.66,0.9995
complaint-heavy,11.53,base-stale,3,48,173.57,11.59,-0.64,0.31,-0.31,0.16,86.13,18.04,0.105,1399.0,5.41,-702.12,0.9971
complaint-heavy,11.53,base-stale,7,48,172.99,12.78,-0.07,0.32,0.09,0.21,85.47,18.29,0.362,1419.7,5.45,-337.58,0.9933
complaint-heavy,11.53,full-refresh,0,48,172.93,12.23,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1411.9,100.0,100.0,1.0
complaint-heavy,11.53,stronger-but-stale,3,48,177.41,12.61,-4.48,1.06,-2.21,0.47,80.08,28.76,0.345,1347.8,0.0,0.0,0.0
complaint-heavy,11.53,weaker-but-fresh,0,48,131.13,4.92,41.8,6.37,21.54,3.04,78.72,1.13,0.0,1984.3,0.0,0.0,0.0
dormancy-heavy,2.64,base-stale,0,48,75.33,3.12,0.0,0.0,0.0,0.0,100.0,0.0,0.0,253.3,1.5,0.0,1.0
dormancy-heavy,2.64,base-stale,1,48,76.33,3.07,-1.0,0.32,-1.51,0.5,90.6,13.41,0.759,248.3,5.14,-163.11,0.9958
dormancy-heavy,2.64,base-stale,3,48,76.31,3.35,-0.98,0.33,-1.46,0.47,90.14,13.95,1.34,250.0,5.39,-251.89,0.9939
dormancy-heavy,2.64,base-stale,7,48,76.26,3.08,-0.93,0.32,-1.4,0.5,89.12,15.31,4.46,249.8,5.75,-357.76,0.9927
dormancy-heavy,2.64,full-refresh,0,48,75.33,3.08,0.0,0.0,0.0,0.0,100.0,0.0,0.0,253.3,100.0,100.0,1.0
dormancy-heavy,2.64,stronger-but-stale,3,48,79.28,4.09,-3.95,0.62,-5.08,0.71,77.72,33.78,4.738,234.8,0.0,0.0,0.0
dormancy-heavy,2.64,weaker-but-fresh,0,48,35.8,2.08,39.53,4.0,51.13,3.31,71.37,8.36,0.0,476.2,0.0,0.0,0.0
dormancy-heavy,7.25,base-stale,0,48,150.56,7.98,0.0,0.0,0.0,0.0,100.0,0.0,0.0,790.6,1.5,0.0,1.0
dormancy-heavy,7.25,base-stale,1,48,151.93,7.17,-1.37,0.31,-0.91,0.19,88.25,18.06,0.242,773.8,5.14,-343.45,0.9955
dormancy-heavy,7.25,base-stale,3,48,151.77,7.64,-1.21,0.31,-0.79,0.2,87.64,18.74,0.429,773.1,5.39,-270.95,0.994
dormancy-heavy,7.25,base-stale,7,48,151.72,8.3,-1.16,0.32,-0.76,0.2,86.69,19.95,1.442,776.5,5.75,-237.09,0.9921
dormancy-heavy,7.25,full-refresh,0,48,150.56,8.38,0.0,0.0,0.0,0.0,100.0,0.0,0.0,790.6,100.0,100.0,1.0
dormancy-heavy,7.25,stronger-but-stale,3,48,157.28,8.89,-6.72,1.08,-4.18,0.55,78.09,34.47,1.528,728.9,0.0,0.0,0.0
dormancy-heavy,7.25,weaker-but-fresh,0,48,92.47,3.88,58.09,5.41,37.46,2.36,73.09,2.63,0.0,1266.8,0.0,0.0,0.0
dormancy-heavy,11.53,base-stale,0,48,193.22,12.53,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1442.4,1.5,0.0,1.0
dormancy-heavy,11.53,base-stale,1,48,194.17,13.37,-0.95,0.25,-0.43,0.12,89.25,15.9,0.128,1429.2,5.14,-215.16,0.9983
dormancy-heavy,11.53,base-stale,3,48,194.01,12.81,-0.79,0.3,-0.32,0.15,88.38,16.74,0.225,1435.8,5.39,-259.42,0.9967
dormancy-heavy,11.53,base-stale,7,48,193.86,12.82,-0.64,0.4,-0.18,0.24,86.99,18.18,0.761,1446.9,5.75,-347.45,0.9943
dormancy-heavy,11.53,full-refresh,0,48,193.22,11.96,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1442.4,100.0,100.0,1.0
dormancy-heavy,11.53,stronger-but-stale,3,48,198.09,14.17,-4.87,1.2,-2.17,0.45,82.13,27.49,0.803,1388.8,0.0,0.0,0.0
dormancy-heavy,11.53,weaker-but-fresh,0,48,142.05,5.79,51.18,8.45,23.99,3.02,77.5,1.62,0.0,1991.5,0.0,0.0,0.0
promotion-heavy,2.64,base-stale,0,48,82.43,4.01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,266.8,1.95,0.0,1.0
promotion-heavy,2.64,base-stale,1,48,83.03,3.77,-0.6,0.52,-0.93,0.69,90.72,11.41,0.595,262.9,7.06,-343.35,0.9911
promotion-heavy,2.64,base-stale,3,48,83.05,3.52,-0.62,0.45,-0.95,0.61,90.34,11.92,0.898,263.4,7.11,-370.2,0.9894
promotion-heavy,2.64,base-stale,7,48,82.93,3.83,-0.5,0.48,-0.79,0.58,89.25,13.44,3.433,263.5,7.1,-297.65,0.9866
promotion-heavy,2.64,full-refresh,0,48,82.43,3.73,0.0,0.0,0.0,0.0,100.0,0.0,0.0,266.8,100.0,100.0,1.0
promotion-heavy,2.64,stronger-but-stale,3,48,88.49,4.27,-6.06,1.11,-7.09,1.29,75.15,35.03,2.029,238.0,0.0,0.0,0.0
promotion-heavy,2.64,weaker-but-fresh,0,48,40.41,2.46,42.01,4.02,49.87,3.51,73.73,9.53,0.0,448.7,0.0,0.0,0.0
promotion-heavy,7.25,base-stale,0,48,170.83,8.05,0.0,0.0,0.0,0.0,100.0,0.0,0.0,762.7,1.95,0.0,1.0
promotion-heavy,7.25,base-stale,1,48,172.52,7.81,-1.69,0.35,-1.03,0.2,87.98,16.78,0.208,743.1,7.06,-1027.46,0.9934
promotion-heavy,7.25,base-stale,3,48,172.37,7.89,-1.54,0.33,-0.92,0.21,87.67,17.07,0.318,743.7,7.11,-557.91,0.9926
promotion-heavy,7.25,base-stale,7,48,172.29,7.88,-1.46,0.41,-0.87,0.21,87.24,17.71,1.248,747.8,7.1,-663.5,0.9904
promotion-heavy,7.25,full-refresh,0,48,170.83,7.28,0.0,0.0,0.0,0.0,100.0,0.0,0.0,762.7,100.0,100.0,1.0
promotion-heavy,7.25,stronger-but-stale,3,48,182.16,8.38,-11.33,1.75,-6.33,0.85,75.44,37.04,0.736,672.9,0.0,0.0,0.0
promotion-heavy,7.25,weaker-but-fresh,0,48,103.52,3.33,67.31,5.43,38.6,2.27,74.65,2.05,0.0,1237.2,0.0,0.0,0.0
promotion-heavy,11.53,base-stale,0,48,228.39,12.8,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1343.0,1.95,0.0,1.0
promotion-heavy,11.53,base-stale,1,48,230.05,13.77,-1.66,0.42,-0.72,0.15,87.43,17.54,0.115,1320.3,7.06,-147.71,0.997
promotion-heavy,11.53,base-stale,3,48,229.77,12.82,-1.38,0.44,-0.57,0.19,87.26,17.69,0.176,1326.8,7.11,-457.93,0.995
promotion-heavy,11.53,base-stale,7,48,229.3,12.96,-0.91,0.55,-0.31,0.27,86.79,18.04,0.687,1338.6,7.1,-198.59,0.9925
promotion-heavy,11.53,full-refresh,0,48,228.39,12.84,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1343.0,100.0,100.0,1.0
promotion-heavy,11.53,stronger-but-stale,3,48,238.05,15.7,-9.66,2.02,-3.81,0.7,78.74,32.65,0.393,1248.1,0.0,0.0,0.0
promotion-heavy,11.53,weaker-but-fresh,0,48,161.88,5.48,66.51,9.32,27.33,2.77,76.73,1.35,0.0,1928.7,0.0,0.0,0.0
seasonal-shift,2.64,base-stale,0,48,77.02,3.09,0.0,0.0,0.0,0.0,100.0,0.0,0.0,247.3,1.63,0.0,1.0
seasonal-shift,2.64,base-stale,1,48,77.6,3.15,-0.58,0.47,-0.94,0.63,90.57,12.23,0.53,243.7,6.01,-112.92,0.996
seasonal-shift,2.64,base-stale,3,48,77.64,3.34,-0.62,0.41,-0.98,0.6,90.06,13.14,0.672,243.6,6.08,-377.92,0.9931
seasonal-shift,2.64,base-stale,7,48,77.52,3.27,-0.5,0.39,-0.82,0.64,89.61,13.82,2.036,244.7,6.07,-318.86,0.9902
seasonal-shift,2.64,full-refresh,0,48,77.02,3.12,0.0,0.0,0.0,0.0,100.0,0.0,0.0,247.3,100.0,100.0,1.0
seasonal-shift,2.64,stronger-but-stale,3,48,80.51,3.83,-3.49,0.62,-4.31,0.73,79.06,31.52,1.821,232.0,0.0,0.0,0.0
seasonal-shift,2.64,weaker-but-fresh,0,48,36.61,2.14,40.41,4.47,51.2,3.43,71.09,8.48,0.0,441.6,0.0,0.0,0.0
seasonal-shift,7.25,base-stale,0,48,157.69,8.07,0.0,0.0,0.0,0.0,100.0,0.0,0.0,756.9,1.63,0.0,1.0
seasonal-shift,7.25,base-stale,1,48,159.08,7.41,-1.39,0.32,-0.91,0.2,87.94,17.69,0.175,735.6,6.01,-253.06,0.9948
seasonal-shift,7.25,base-stale,3,48,158.96,7.32,-1.28,0.33,-0.82,0.19,87.68,17.99,0.22,737.6,6.08,-243.26,0.9937
seasonal-shift,7.25,base-stale,7,48,158.86,7.25,-1.18,0.35,-0.74,0.2,87.47,18.36,0.665,744.3,6.07,-306.92,0.9924
seasonal-shift,7.25,full-refresh,0,48,157.69,7.35,0.0,0.0,0.0,0.0,100.0,0.0,0.0,756.9,100.0,100.0,1.0
seasonal-shift,7.25,stronger-but-stale,3,48,165.08,8.09,-7.39,1.07,-4.42,0.61,78.54,34.47,0.613,692.5,0.0,0.0,0.0
seasonal-shift,7.25,weaker-but-fresh,0,48,95.11,3.59,62.58,6.03,38.56,2.39,71.55,1.88,0.0,1213.5,0.0,0.0,0.0
seasonal-shift,11.53,base-stale,0,48,205.24,13.25,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1371.7,1.63,0.0,1.0
seasonal-shift,11.53,base-stale,1,48,206.54,11.98,-1.3,0.33,-0.62,0.14,87.37,18.13,0.094,1350.2,6.01,-121.34,0.9987
seasonal-shift,11.53,base-stale,3,48,206.26,12.39,-1.02,0.34,-0.44,0.15,87.03,18.41,0.117,1358.8,6.08,-263.35,0.9964
seasonal-shift,11.53,base-stale,7,48,205.72,12.86,-0.49,0.42,-0.11,0.21,86.52,18.67,0.352,1375.2,6.07,-194.51,0.9931
seasonal-shift,11.53,full-refresh,0,48,205.24,11.96,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1371.7,100.0,100.0,1.0
seasonal-shift,11.53,stronger-but-stale,3,48,211.14,13.42,-5.91,1.28,-2.52,0.53,81.1,29.63,0.322,1313.1,0.0,0.0,0.0
seasonal-shift,11.53,weaker-but-fresh,0,48,148.72,5.43,56.52,8.64,25.26,2.84,75.69,1.27,0.0,1913.5,0.0,0.0,0.0
